"ID","mean_temp_c","mean_tree_cover","mean_elevation"
33865,48744.8342245989,2.39003837108612,158.984168979148
33866,47741.6704152249,8.6188640084017,150.422138002917
33867,45750.1898395722,6.35178293469664,149.791940821683
33868,48226.1898395722,10.6637954682704,151.8332603033
33869,50038.7283737024,7.23431782859497,154.204111739426
33870,49635.6907308378,4.76518980299051,155.750473620335
34100,48462.4416896235,20.130559021029,163.815813959575
34101,47569.6862745098,16.275281764686,152.487639456084
34102,48163.6097337006,16.1447759280178,146.424027722291
34103,48036.8962350781,27.1396885714831,145.535741884846
34104,49530.6595365419,7.4295933182387,152.594162640087
34105,48332.9623507805,8.81106217510599,148.379633259439
34335,49168.696969697,12.3840786617037,173.483285713021
34336,49348.6069518717,19.1791311000555,161.562090379032
34337,49311.694214876,9.58010137740325,159.357799505509
34338,48892.7015610652,9.23569255116369,150.502814693118
34339,47985.2664884135,2.16150698819863,153.844651655717
34340,44895.81359045,0.819482078519201,150.331460970584
34570,49089.5401069519,7.16946976385915,161.562400458592
34571,50389.5865051903,12.2691199229647,159.415218105786
34572,50873.6773618538,3.89047921721702,149.384024470868
34573,50406.3199643494,3.12755212307793,145.268110860365
34574,50415.7698961938,3.51240722390561,149.448734948603
34575,49903.1524064171,1.60546149910218,148.709797404486
